,capped_normalized_return,eval_episode_return,eval_frame_rate,eval_num_episodes,frame,human_gap,iteration,normalized_return,train_episode_return,train_exploration_epsilon,train_frame_rate,train_num_episodes,environment_name,seed
128,-1,0.0,-1,-1,14000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
129,-1,6.0,-1,-1,16000000,-1,-1,0.2027027027027027,-1,-1,-1,-1,freeway,4
130,-1,0.0,-1,-1,18000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
131,-1,0.0,-1,-1,20000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
132,-1,0.5,-1,-1,22000000,-1,-1,0.01689189189189189,-1,-1,-1,-1,freeway,4
133,-1,0.0,-1,-1,24000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
134,-1,1.6,-1,-1,26000000,-1,-1,0.05405405405405406,-1,-1,-1,-1,freeway,4
135,-1,0.0,-1,-1,28000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
136,-1,0.8,-1,-1,30000000,-1,-1,0.02702702702702703,-1,-1,-1,-1,freeway,4
137,-1,0.0,-1,-1,32000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
138,-1,0.0,-1,-1,34000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
139,-1,5.5,-1,-1,36000000,-1,-1,0.1858108108108108,-1,-1,-1,-1,freeway,4
140,-1,0.0,-1,-1,38000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
141,-1,8.3,-1,-1,40000000,-1,-1,0.28040540540540543,-1,-1,-1,-1,freeway,4
142,-1,0.3,-1,-1,42000000,-1,-1,0.010135135135135134,-1,-1,-1,-1,freeway,4
143,-1,0.0,-1,-1,44000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
144,-1,0.0,-1,-1,46000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
145,-1,0.0,-1,-1,48000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
146,-1,0.0,-1,-1,50000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
147,-1,0.0,-1,-1,52000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
148,-1,0.0,-1,-1,54000000,-1,-1,0.0,-1,-1,-1,-1,freeway,4
